,title,solution_1,solution_2,runtime_1,runtime_2,video_link,completed
202307,--- Day 7: Camel Cards ---,,,,,,1
202308,--- Day 8: Haunted Wasteland ---,,,,,,1
202309,--- Day 9: Mirage Maintenance ---,,,,,,1
202310,--- Day 10: Pipe Maze ---,,,,,,1
202311,--- Day 11: Cosmic Expansion ---,,,,,,1
202312,--- Day 12: Hot Springs ---,,,,,,1
202313,--- Day 13: Point of Incidence ---,,,,,,1
202314,--- Day 14: Parabolic Reflector Dish ---,,,,,,1
202315,--- Day 15: Lens Library ---,,,,,,1
202316,--- Day 16: The Floor Will Be Lava ---,,,,,,1
202317,--- Day 17: Clumsy Crucible ---,,,,,,1
202318,--- Day 18: Lavaduct Lagoon ---,,,,,,1
202319,--- Day 19: Aplenty ---,,,,,,1
202320,--- Day 20: Pulse Propagation ---,,,,,,1
202321,--- Day 21: Step Counter ---,,,,,,1
202322,--- Day 22: Sand Slabs ---,,,,,,1
202323,--- Day 23: A Long Walk ---,,,,,,1
202324,--- Day 24: Never Tell Me The Odds ---,,,,,,1
202325,--- Day 25: Snowverload ---,,,,,,1
